Title,Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
Grizzly Man,3021,"Documentary, Biography","Biographical Documentaries,Documentaries,Documentary Films",English,Movie,4.3,R,7.8,92.0,87.0,2005-09-30
Groundhog Day,3022,"Comedy, Fantasy, Romance","Cult Comedies,Comedies,Romantic Films,Romantic Comedies,Cult Comedies,Comedies,Romantic Films,Romantic Comedies,Dark Comedies,Sci-Fi & Fantasy,Fantasy,Classic Romantic Films,Classic Films,Classic Comedies,Classic Sci-Fi & Fantasy","English, French, Italian",Movie,4.1,PG,8.0,96.0,72.0,1993-02-12
Grown Ups,3025,Comedy,"Slapstick Comedies,Comedies","English, Spanish",Movie,1.7,PG-13,5.9,11.0,30.0,2010-06-25
Grown Ups 2,3026,Comedy,"Slapstick Comedies,Comedies,Laugh-Out-Loud Comedies","English, Spanish",Movie,1.3,PG-13,5.4,8.0,19.0,2013-07-12
Guru,3044,"Biography, Drama","Dramas,Social Issue Dramas,Bollywood Films,Indian Films,Hindi-language Films,International Dramas",Hindi,Movie,3.8,Not Rated,7.7,83.0,70.0,2007-01-12
Habermann,3054,"Drama, Romance, War","Dramas,Movies Based on Books,German Dramas,German Movies","German, Czech, Latin",Movie,7.0,PG-13,7.1,33.0,46.0,2011-08-05
Hacksaw Ridge,3058,"Biography, Drama, History, War","Dramas based on real life,20th Century Period Pieces,Biographical Dramas,Military Dramas,Dramas,Films Based on Real Life,Historical Dramas","English, Japanese",Movie,3.9,R,8.1,84.0,71.0,2016-11-04
Hail Satan?,3063,Documentary,"Social & Cultural Docs,Documentary Films,Satanic Stories,Political Documentaries",English,Movie,6.3,R,7.3,96.0,76.0,2019-04-17
"Hail, Cesar!",3065,"Comedy, Drama, Music, Mystery","Mysteries,Comedies",English,Movie,3.7,PG-13,6.3,85.0,72.0,2016-02-05
Hairspray,3066,"Comedy, Drama, Musical, Romance","Comedies,Teen Comedies,Children & Family Movies,Teen Movies,Musicals,Family Comedies,Music & Musicals,US Movies",English,Movie,4.0,PG,6.6,91.0,81.0,2007-07-20
Half Baked,3070,"Comedy, Crime","Comedies,Late Night Comedies,Cult Films,Cult Comedies,Laugh-Out-Loud Comedies,Raunchy Comedies","English, Turkish",Movie,1.9,R,6.7,29.0,16.0,1998-01-16
Half Past Dead,3071,"Action, Crime, Thriller","Crime Action & Adventure,Heist Films,Action & Adventure,Action Thrillers,Crime Films,Police Action & Adventure,Police Movies,Action",English,Movie,1.2,PG-13,4.7,3.0,23.0,2002-11-15
Hall Pass,3073,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Raunchy Comedies,Buddy Comedies,Romantic Favorites,Laugh-Out-Loud Comedies,Late Night Comedies,US Movies",English,Movie,2.3,R,5.8,33.0,45.0,2011-02-25
Halloween,3074,"Crime, Horror, Thriller","Teen Screams,Slasher & Serial Killer Movies,Horror Movies,US Movies",English,Movie,3.5,R,6.5,79.0,67.0,2018-10-19
Halloween,3075,"Horror, Thriller","Horror Films,Slasher and Serial Killer Films,Classic Movies,Teen Screams,US Movies",English,Movie,4.3,R,7.7,96.0,87.0,1978-10-27
Halloween 4: The Return of Michael Myers,3076,"Horror, Thriller",Horror Movies,English,Movie,2.0,R,5.9,29.0,34.0,1988-10-21
Hamburger Hill,3078,"Action, Drama, Thriller, War","Dramas,20th Century Period Pieces,Military Dramas,Military Action & Adventure,Action & Adventure","English, French",Movie,3.9,R,6.7,100.0,64.0,1987-08-28
Hampstead,3080,"Comedy, Drama, Romance","Romantic Dramas,Romantic British Movies,Dramas,Romantic Comedies,British Movies,British Comedies,Romantic Movies,British Dramas,Comedies,Social Issue Dramas",English,Movie,5.1,PG-13,6.0,43.0,53.0,2019-06-14
Hancock,3083,"Action, Drama, Fantasy","Action Thrillers,Comic Book and Superhero Films,Action Comedies,Comedies,Action & Adventure,Dark Comedies,Blockbuster Action & Adventure,US Movies","English, Japanese, Vietnamese",Movie,2.6,PG-13,6.4,41.0,49.0,2008-07-02
Hands of Stone,3085,"Biography, Drama, Sport","Sports Films,Biographical Dramas,Dramas based on real life,Dramas,Sports & Fitness,Martial Arts, Boxing & Wrestling,Sports Dramas,Films Based on Real Life,International Dramas","English, Spanish",Movie,2.7,R,6.6,45.0,54.0,2016-08-26
Hangman,3088,"Crime, Drama, Mystery, Thriller","Crime Thrillers,Thrillers,Crime Movies",English,Movie,1.5,R,5.3,4.0,31.0,2017-11-24
Hank: Five Years from the Brink,3089,"Documentary, Biography, News","Historical Documentaries,Political Documentaries,Biographical Documentaries,Documentaries,Documentary Films",English,Movie,7.6,Not Rated,6.6,50.0,56.0,2013-09-01
Hanna,3091,"Action, Adventure, Drama, Thriller","Action Thrillers,Spy Action & Adventure,Action & Adventure,Crime Action & Adventure,Action","English, French, German, Italian, Arabic, Spanish",Movie,3.4,PG-13,6.8,71.0,65.0,2011-04-08
Hannibal,3094,"Crime, Drama, Thriller","Crime Films,Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Horror Movies,Gory Horror Movies,Movies Based on Books","English, Italian, Japanese",Movie,2.7,R,6.8,40.0,57.0,2001-02-09
Hannibal Rising,3097,"Adventure, Crime, Drama, Thriller, War","Crime Films,20th Century Period Pieces,Thrillers,International Movies,British Films,Crime Thrillers,Psychological Thrillers,Horror Movies,Movies Based on Books,Psychological Horror Movies","English, German, Russian",Movie,1.9,R,6.2,16.0,35.0,2007-02-09
Hansel and Gretel: Witch Hunters,3098,"Action, Fantasy, Horror","Crime Films,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Crime Action,Fantasy,Action",English,Movie,1.7,R,6.1,16.0,23.0,2013-01-25
Happily NEver After,3101,"Animation, Adventure, Comedy, Family, Fantasy","Family Comedies,Family Sci-Fi & Fantasy,Family Adventures,Children & Family Films,Films for ages 8 to 10,Films for ages 11 to 12,Films for ages 5 to 7",English,Movie,1.3,PG,4.5,4.0,28.0,2007-01-05
Happy Death Day,3105,"Comedy, Horror, Mystery, Thriller","Mysteries,Comedies,Teen Screams,Slasher and Serial Killer Movies,Horror Movies,Dark Comedies,Horror Comedy",English,Movie,3.2,PG-13,6.6,71.0,58.0,2017-10-13
Happy Death Day 2U,3106,"Comedy, Horror, Mystery, Sci-Fi, Thriller","Teen Screams,Horror Movies,Dark Comedies,Mysteries,Sci-Fi & Fantasy,Horror Comedies,Sci-Fi Horror Movies,US Movies,Slasher & Serial Killer Movies,Comedies","English, French",Movie,3.2,PG-13,6.2,71.0,57.0,2019-02-13
Happy Feet,3109,"Animation, Adventure, Comedy, Family, Music, Musical, Romance","Family Features,Kids Music,Animal Tales,Family Feature Animation,Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies,Musicals,Films for ages 5 to 7,Music & Musicals,US Movies,Critically Acclaimed Films,Critically Acclaimed Comedies,Oscar-Winning Films,Golden Globe Award-Winning Films",English,Movie,3.6,PG,6.4,76.0,77.0,2006-11-17
Happy Feet Two,3110,"Animation, Adventure, Comedy, Family, Musical","Family Comedies,Australian Films,Children & Family Films,Films for ages 8 to 10,Films for ages 5 to 7,Animal Tales,Comedies,Musicals,Kids&#39; Music,Music & Musicals,Family Features",English,Movie,2.6,PG,5.9,45.0,50.0,2011-11-18
Happy Gilmore,3112,"Comedy, Sport","Slapstick Comedies,Sports Comedies,Comedies,Sports Films",English,Movie,2.7,PG-13,7.0,62.0,31.0,1996-02-16
Hard to Kill,3122,"Action, Crime, Drama, Thriller","Action & Adventure,Crime Action & Adventure,Action Thrillers",English,Movie,2.3,R,5.8,38.0,41.0,1990-02-09
Harold and Kumar Get the Munchies,3129,"Adventure, Comedy","Cult Comedies,Comedies,Late Night Comedies","English, Hindi",Movie,3.5,R,7.1,74.0,64.0,2004-07-30
Harriet,3130,"Action, Biography, Drama, History","Movies Based on Real Life,Social Issue Dramas,Dramas,Period Pieces,US Movies",English,Movie,3.4,PG-13,6.6,73.0,66.0,2019-11-01
Harry Potter and the Chamber of Secrets,3133,"Adventure, Family, Fantasy, Mystery","Family Features,Sci-Fi & Fantasy,Fantasy,Family Sci-Fi & Fantasy,Children & Family Films,Films based on childrens books,Movies Based on Books",English,Movie,3.6,PG,7.4,82.0,63.0,2002-11-15
Harry Potter and the Deathly Hallows: Part 2,3134,"Adventure, Drama, Fantasy, Mystery","Children & Family Films,Fantasy,Sci-Fi & Fantasy,Family Sci-Fi & Fantasy,Family Features,Films based on childrens books,Films Based on Books",English,Movie,4.4,PG-13,8.1,96.0,85.0,2011-07-15
Harry Potter and the Deathly Hallows: Part I,3135,"Adventure, Family, Fantasy, Mystery","Family Features,Sci-Fi & Fantasy,Children & Family Films,Fantasy,Films based on childrens books,Family Sci-Fi & Fantasy,Adventures,Action & Adventure,Films Based on Books,Blockbuster Action & Adventure",English,Movie,3.6,PG-13,7.7,77.0,65.0,2010-11-19
Harry Potter and the Goblet of Fire,3136,"Adventure, Family, Fantasy, Mystery","Family Features,Sci-Fi & Fantasy,Fantasy,Family Sci-Fi & Fantasy,Children & Family Films,Films based on childrens books,Movies Based on Books","English, French",Movie,4.1,PG-13,7.7,88.0,81.0,2005-11-18
Harry Potter and the Half-Blood Prince,3137,"Action, Adventure, Family, Fantasy, Mystery","Family Features,Sci-Fi & Fantasy,Fantasy,Family Sci-Fi & Fantasy,Children & Family Films,Films based on childrens books,Movies Based on Books",English,Movie,4.0,PG,7.6,84.0,78.0,2009-07-15
Harry Potter and the Order of the Phoenix,3138,"Action, Adventure, Family, Fantasy, Mystery","Family Features,Sci-Fi & Fantasy,Fantasy,Family Sci-Fi & Fantasy,Children & Family Films,Films based on childrens books,Films Based on Books",English,Movie,3.7,PG-13,7.5,77.0,71.0,2007-07-11
Harry Potter and the Prisoner of Azkaban,3139,"Adventure, Family, Fantasy, Mystery","Family Features,Sci-Fi & Fantasy,Fantasy,Family Sci-Fi & Fantasy,Children & Family Films,Films based on childrens books,Adventures,Action & Adventure,Movies Based on Books",English,Movie,4.2,PG,7.9,90.0,82.0,2004-06-04
Harry Potter and the Sorcerers Stone,3140,"Adventure, Family, Fantasy","Family Features,Children & Family Films,Films for ages 8 to 10,Films based on childrens books,Movies Based on Books,Family Sci-Fi & Fantasy",English,Movie,3.7,PG,7.6,81.0,64.0,2001-11-16
Harrys Daughters,3141,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,Movie,4.4,PG-13,8.1,96.0,85.0,2011-07-15
Haywire,3152,"Action, Drama, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Spy Action & Adventure,Crime Movies,Crime Action,Action Movies","English, Spanish",Movie,3.4,R,5.8,80.0,67.0,2012-01-20
He Never Died,3155,"Comedy, Drama, Fantasy, Horror, Thriller","Gangster Movies,Horror Movies,Vampire Horror Movies,Dark Comedies,Horror Comedy,Comedies",English,Movie,3.7,R,6.4,87.0,72.0,2015-12-18
Heartbeats,3166,"Drama, Romance","Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films","French, English",Movie,3.6,Not Rated,7.1,73.0,70.0,2010-09-29
Heartbreaker,3168,"Comedy, Romance","International Movies,Romantic Comedies,French Films,International Comedies,Comedies,Romantic Films,Romantic French Movies,French Comedies","French, English, Spanish, Japanese, Arabic, Mandarin",Movie,3.2,Not Rated,6.7,68.0,59.0,2010-03-17
Hearts Beat Loud,3170,"Comedy, Drama, Music","Dramas,Independent Movies,Comedies,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas,Critically Acclaimed Comedies,Family Cozy Time,Music & Musicals",English,Movie,3.8,PG-13,6.9,92.0,65.0,2018-06-15
Hearts in Atlantis,3171,"Drama, Mystery","Dramas,Thrillers,Supernatural Thrillers,Supernatural Thrillers,Dramas based on a book,Dramas based on a book,Tearjerkers,20th Century Period Pieces,Tearjerkers,Films Based on Books",English,Movie,2.9,PG-13,6.9,49.0,55.0,2001-09-28
Heaven Is for Real,3173,"Biography, Drama, Family","Dramas based on Books,Dramas,Dramas based on real life,Films Based on Real Life,Faith & Spirituality,Films Based on Books,Faith & Spirituality Films",English,Movie,2.6,PG,5.8,51.0,47.0,2014-04-16
Heavy Metal,3179,"Animation, Adventure, Fantasy, Sci-Fi","Sci-Fi & Fantasy,Fantasy,Adult Animation,Cult Sci-Fi & Fantasy,Sci-Fi & Fantasy,Fantasy,Adult Animation,Cult Sci-Fi & Fantasy,Action & Adventure,Alien Sci-Fi,Sci-Fi Adventure,Adventures,Cult Films,Films Based on Books,Futuristic Sci-Fi",English,Movie,3.0,R,6.7,60.0,51.0,1981-08-07
Hector and the Search for Happiness,3181,"Adventure, Comedy, Drama","Dramas,Dramas based on a book,British Films,Comedies","English, French, German",Movie,2.3,R,7.0,38.0,29.0,2014-08-14
Heist,3186,"Action, Crime, Drama, Thriller","Action & Adventure,Crime Action & Adventure,Action Thrillers,Crime Movies,Crime Action",English,Movie,2.1,R,6.1,29.0,37.0,2015-11-11
Hell Fest,3188,"Horror, Thriller","Horror Movies,Slasher and Serial Killer Films",English,Movie,2.0,R,5.5,40.0,26.0,2018-09-28
Hell or High Water,3190,"Action, Crime, Drama, Thriller, Western","Independent Films,Dramas,Crime Dramas,Independent Dramas,Westerns,Crime Movies",English,Movie,4.4,R,7.6,97.0,88.0,2016-08-26
Hellboy,3192,"Action, Adventure, Fantasy, Horror, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy Movies,Action & Adventure,Monster Films,Comic Book and Superhero Films","English, Spanish, Russian, German",Movie,1.7,R,5.2,18.0,31.0,2019-04-12
Hellboy II: The Golden Army,3193,"Action, Adventure, Fantasy, Horror, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action & Adventure,Adventures,Monster Films,Fantasy,Comic Book and Superhero Films,Action,US Movies,Visually-striking Sci-Fi & Fantasy","English, Scottish Gaelic, German",Movie,3.9,PG-13,7.0,86.0,78.0,2008-07-11
"Hello, My Name Is Doris",3201,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Romantic Dramas,Romantic Films,Dramas,Romantic Favorites,US Movies,Quirky Romance",English,Movie,3.6,R,6.6,85.0,63.0,2016-04-01
Heneral Luna,3208,"Action, Biography, History, War","Dramas,Military Dramas,Biographical Dramas,Southeast Asian Movies,International Movies,Filipino Films,Period Pieces,International Dramas","Filipino, Tagalog, English, Spanish",Movie,7.5,R,7.5,75.0,58.0,2015-10-30
Her,3210,"Drama, Romance, Sci-Fi","Dramas,US Movies,Oscar-winning Movies,Award-winning Movies,International Movies,Romantic Dramas,Romantic Movies,International Dramas,Sci-Fi & Fantasy,Romantic Favorites,Sci-Fi Dramas,Futuristic Sci-Fi",English,Movie,4.4,R,8.0,94.0,90.0,2014-01-10
Hercules,3214,"Action, Adventure, Fantasy","Action & Adventure,Adventures",English,Movie,2.7,PG-13,6.0,58.0,47.0,2014-07-25
Hercules in New York,3215,"Adventure, Comedy, Fantasy","Action Comedies,Comedies,Action & Adventure,Adventures,Laugh-Out-Loud Comedies",English,Movie,1.2,G,3.3,17.0,23.0,1970-02-25
Here Comes the Boom,3217,"Action, Comedy, Sport","Family Features,Family Comedies,Sports Comedies,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12,Sports Films,US Movies","English, Dutch",Movie,2.4,PG,6.4,41.0,40.0,2012-10-12
Hereafter,3220,"Drama, Fantasy, Romance","Dramas,Thrillers,Tearjerkers,Mysteries,Supernatural Thrillers,US Movies","English, French, German",Movie,2.8,PG-13,6.4,47.0,56.0,2010-10-22
Hereditary,3221,"Drama, Horror, Mystery, Thriller","Supernatural Horror Movies,Horror Movies,Teen Screams,Independent Films","English, Spanish",Movie,4.2,R,7.3,89.0,87.0,2018-06-08
Hes Just Not That Into You,3229,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Romantic Films,Movies Based on Books,Romantic Favorites",English,Movie,2.5,PG-13,6.4,41.0,47.0,2009-02-06
Hickok,3235,Western,"Westerns,Action & Adventure,Crime Action & Adventure",English,Movie,6.2,Not Rated,4.7,57.0,49.0,2017-07-07
Hidden (Cache),3236,"Drama, Mystery, Thriller","Thrillers,Independent Films,Award-winning Movies,International Movies,French Films,Psychological Thrillers",French,Movie,4.1,R,7.3,89.0,83.0,2006-02-17
Hidden Figures,3237,"Biography, Drama, History","Biographical Dramas,Dramas based on a book,Social Issue Dramas,20th Century Period Pieces,Dramas,Dramas based on real life,Children & Family Films,Films Based on Real Life,Films Based on Books",English,Movie,4.1,PG,7.8,93.0,74.0,2017-01-06
Hide and Seek,3239,"Drama, Horror, Mystery, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers",English,Movie,1.8,R,6.0,13.0,35.0,2005-01-28
High & Low The Movie,3240,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,R,7.6,97.0,88.0,2016-08-26
High & Low The Movie 2 / End of Sky,3241,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,R,7.6,97.0,88.0,2016-08-26
High & Low The Movie 3 / Final Mission,3242,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,R,7.6,97.0,88.0,2016-08-26
High & Low The Red Rain,3243,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,R,7.6,97.0,88.0,2016-08-26
High & Low The Worst,3244,"Action, Crime, Drama, Thriller, Western","Action & Adventure,Japanese Movies,Asian Action Films",English,Movie,4.4,R,7.6,97.0,88.0,2016-08-26
High Flying Bird,3245,"Drama, Sport","Sports Dramas,Dramas,Sports Films,Social Issue Dramas",English,Movie,5.0,TV-MA,6.2,91.0,78.0,2019-02-08
High Heels,3246,"Comedy, Drama, Romance","Crime Dramas,Classic Dramas,Classic Films,Mysteries,Spanish Films,Spanish Dramas,Award-winning Films,Dramas,Crime Movies",Spanish,Movie,2.9,R,7.1,53.0,51.0,1991-12-20
High Life,3247,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy,Sci-Fi Dramas,Thriller Movies,Sci-Fi Thrillers,German Movies",English,Movie,3.6,R,5.8,82.0,77.0,2019-04-12
High Noon,3248,"Drama, Thriller, Western","Classic Films,Classic Westerns,Westerns,Films Based on Books","English, Spanish",Movie,4.4,PG,7.9,97.0,89.0,1952-07-30
High Strung Free Dance,3253,"Music, Romance","Romantic Dramas,Showbiz Dramas,Dramas,Romantic Films,Musicals,Showbiz Musicals,Music & Musicals",English,Movie,7.0,PG,6.8,50.0,43.0,2019-10-11
High-Rise,3254,"Drama, Sci-Fi","Dramas based on a book,Dramas,Thrillers,Independent Films,Social Issue Dramas,Films Based on Books,British Films",English,Movie,2.7,R,5.6,40.0,65.0,2016-04-28
Hitch,3272,"Comedy, Romance","Romantic Favourites,Romantic Comedies,Comedies,Romantic Films",English,Movie,3.2,PG-13,6.6,69.0,58.0,2005-02-11
Hitman,3275,"Action, Crime, Thriller","Crime Films,Crime Action,Action,Action Thrillers,Action & Adventure","English, Russian, Serbo-Croatian",Movie,2.1,R,6.3,28.0,35.0,2007-11-21
Hitman: Agent 47,3276,"Action, Crime, Thriller","Gangster Films,Action & Adventure,Crime Action & Adventure,Action Thrillers,Crime Films,US Movies",English,Movie,1.6,R,5.7,8.0,28.0,2015-08-21
Hitman’s Bodyguard,3277,"Action, Comedy, Crime, Thriller","Crime Action & Adventure,Comedies,Action Thrillers,International Action & Adventure,Action Comedies,International Movies,Action & Adventure,International Comedies,Crime Comedies,Crime Movies,Crime Action","English, Russian, French, Japanese, Italian, Dutch, Spanish",Movie,2.7,R,6.9,43.0,47.0,2017-08-18
Hold the Dark,3281,"Action, Drama, Thriller","Action & Adventure,Dramas based on Books,Action Thrillers,Dramas,Crime Action & Adventure,Crime Dramas,Films Based on Books",English,Movie,3.1,TV-MA,5.6,70.0,63.0,2018-09-28
Holidays,3289,"Fantasy, Horror, Mystery","Horror Films,Comedies,Dark Comedies,Romantic Favourites,Horror Comedy",English,Movie,2.5,Not Rated,5.1,52.0,50.0,2016-04-15
Home Again,3295,"Comedy, Drama, Romance","Romantic International Movies,International Films,Dramas,Romantic Dramas,International Comedies,Romantic Films,International Dramas,Romantic Comedies,Comedies,Romantic Favourites",English,Movie,2.2,PG-13,5.8,32.0,41.0,2017-09-08
Homefront,3301,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Crime Movies,Movies Based on Books",English,Movie,2.5,R,6.5,42.0,40.0,2013-11-27
Homme Less,3308,"Documentary, Biography","Austrian Movies,Social & Cultural Docs,Documentaries,Documentary Films",English,Movie,8.5,Not Rated,7.2,82.0,67.0,2017-01-28
Honey Boy,3311,Drama,"Dramas,Independent Movies,US Movies","English, Spanish",Movie,4.0,R,7.3,94.0,73.0,2019-11-27
Honeymoon,3312,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller","Czech Movies,Dramas,LGBTQ Movies,Independent Movies",English,Movie,3.3,R,5.7,76.0,65.0,2014-09-12
Hook,3316,"Adventure, Comedy, Family, Fantasy","TV Comedies,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Thai TV Shows",English,Series,2.5,PG,6.8,29.0,52.0,1991-12-11
Hook,3317,"Adventure, Comedy, Family, Fantasy","Family Adventures,Children & Family Films,Films for ages 8 to 10,Family Sci-Fi & Fantasy,Films Based on Books",English,Movie,2.5,PG,6.8,29.0,52.0,1991-12-11
Hop,3318,"Animation, Adventure, Comedy, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies","English, Chinese, Spanish, French, Ukrainian",Movie,2.0,PG,5.4,24.0,41.0,2011-04-01
HOPE GAP,3319,"Drama, Romance","Dramas,British",English,Movie,6.7,PG-13,6.7,64.0,58.0,2020-05-08
Hope Springs,3320,"Comedy, Drama, Romance","Romantic Dramas,Dramas,Romantic Films,Romantic Favourites",English,Movie,3.4,PG-13,6.3,75.0,65.0,2012-08-08
Horns,3324,"Comedy, Crime, Drama, Fantasy, Mystery, Thriller","Dramas,Thrillers,Sci-Fi & Fantasy,Fantasy,Dramas based on a book,Crime Thrillers,Supernatural Thrillers,Crime Dramas,Horror Movies,Movies Based on Books,Supernatural Horror Movies",English,Movie,2.5,R,6.5,41.0,46.0,2014-10-03
Horrible Bosses,3325,"Comedy, Crime","Comedies,Dark Comedies,US Movies,Late Night Comedies",English,Movie,3.2,R,6.9,69.0,57.0,2011-07-08
Horrible Bosses 2,3326,"Comedy, Crime","Comedies,Late Night Comedies,US Movies",English,Movie,2.3,R,6.3,35.0,40.0,2014-11-26
Hostiles,3333,"Drama, Western","Westerns,Dramas","English, Cheyenne, French",Movie,3.5,R,7.2,71.0,65.0,2018-01-26
Hot Fuzz,3335,"Action, Comedy, Mystery, Thriller","Spoofs & Satires,Action Comedies,Comedies,Police Action & Adventure,Action & Adventure,Police Movies,Crime Action & Adventure,Dark Comedies,Crime Comedies,Crime Films,British Films,British Comedies,British Action & Adventure,British Crime Films,European Comedies,European Movies,Critically-acclaimed Action & Adventure,Critically Acclaimed Films,Critically Acclaimed Comedies,Police Detective Movies",English,Movie,4.2,R,7.8,91.0,81.0,2007-04-20
Hot Rod,3339,"Comedy, Sport","Slapstick Comedies,Sports Comedies,Comedies,Sports Films,US Movies,Late Night Comedies",English,Movie,2.5,PG-13,6.7,39.0,43.0,2007-08-03
Hot Shots!,3340,"Action, Comedy","Action Comedies,Comedies,Action & Adventure,Slapstick Comedies",English,Movie,3.5,PG-13,6.8,83.0,61.0,1991-07-31
Hot Tub Time Machine,3341,"Comedy, Sci-Fi",Comedies,"English, Russian",Movie,3.2,R,6.4,63.0,63.0,2010-03-26
Hotel Artemis,3343,"Action, Crime, Drama, Sci-Fi, Thriller","Crime Action & Adventure,Crime Movies,Action & Adventure,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Gangster Movies,Futuristic Sci-Fi,Crime Action,Action Movies","English, French",Movie,2.9,R,6.1,58.0,58.0,2018-06-08
Hotel for Dogs,3346,"Comedy, Family, Sci-Fi","Animal Tales,Family Comedies,Children & Family Films,Films for ages 8 to 10,Films based on childrens books,Films for ages 5 to 7,Comedies,Films Based on Books",English,Movie,2.5,PG,5.4,46.0,51.0,2009-01-16
Hotel Mumbai,3347,"Action, Drama, History, Thriller","Movies Based on Real Life,Australian Movies,Thriller Movies","Hindi, English, Russian",Movie,3.6,R,7.6,76.0,62.0,2019-03-29
Hotel Rwanda,3348,"Biography, Drama, History, War","Dramas,Military Dramas,20th Century Period Pieces,Political Dramas,Tearjerkers,Social Issue Dramas,Dramas based on real life","English, French, Kinyarwanda",Movie,4.2,PG-13,8.1,91.0,79.0,2005-02-04
Hotel Transylvania,3349,"Animation, Comedy, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Family Sci-Fi & Fantasy,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12",English,Movie,2.7,PG,7.1,45.0,47.0,2012-09-28
Hotel Transylvania 2,3350,"Animation, Comedy, Family, Fantasy","Movies for ages 8 to 10,Comedies,Family Feature Animation,Family Comedies,Family Features,Movies for ages 5 to 7,Family Sci-Fi & Fantasy,Children & Family Movies",English,Movie,2.8,PG,6.7,55.0,44.0,2015-09-25
Hotel Transylvania 3: Summer Vacation,3351,"Animation, Adventure, Comedy, Family, Fantasy","Comedies,Family Comedies,Children & Family Movies,Animation,US Movies,Family Features","English, Spanish, German, Russian",Movie,3.0,PG,6.3,62.0,54.0,2018-07-13
House at the End of the Street,3352,"Drama, Horror, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Teen Movies,Horror Movies,Teen Screams,US Movies",English,Movie,1.7,PG-13,5.6,13.0,31.0,2012-09-21
"House of 1,000 Corpses",3353,Horror,"Horror Films,Slasher and Serial Killer Films,Cult Horror Films,Cult Films,Gory Horror Movies",English,Movie,1.9,R,6.1,20.0,31.0,2003-04-11
House of Flying Daggers,3355,"Action, Adventure, Drama, Romance","Dramas,Romantic Dramas,Asian Action Films,International Dramas,Romantic Favourites,International Movies,Political Dramas,Chinese Films,International Action & Adventure,Martial Arts Films,Adventures,Action & Adventure,Romantic Films",Mandarin,Movie,4.2,PG-13,7.5,87.0,89.0,2005-01-14
House of Wax,3357,"Horror, Thriller","Horror Movies,Slasher and Serial Killer Movies,Gory Horror Films,US Movies",English,Movie,2.0,R,5.3,26.0,41.0,2005-05-06
How Do You Know,3359,"Comedy, Drama, Romance","Dramas,Romantic Dramas,Romantic Comedies,Comedies,Romantic Films,Romantic Favourites",English,Movie,2.2,PG-13,5.4,31.0,46.0,2010-12-17
How High,3360,"Comedy, Fantasy","Comedies,Late Night Comedies,US Movies,Raunchy Comedies,Buddy Comedies,Laugh-Out-Loud Comedies",English,Movie,2.0,R,6.3,26.0,29.0,2001-12-21
How I Spent My Summer Vacation,3362,"Action, Crime, Drama","Action Thrillers,Action & Adventure,Action,Crime Movies,Crime Action & Adventure,Gangster Movies,Crime Action","English, Spanish",Movie,3.5,R,7.0,82.0,60.0,2012-06-22
How It Ends,3363,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller","Sci-Fi Thrillers,Action Sci-Fi & Fantasy,Action & Adventure,Sci-Fi & Fantasy,Action Thrillers",English,Movie,1.7,TV-MA,5.0,17.0,36.0,2018-07-13
