Title,Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
Truth or Dare: Extended Directors Cut,8749,"Horror, Thriller","US Movies,Horror Films,Supernatural Horror Films","English, Spanish",Movie,1.7,PG-13,5.2,16.0,35.0,2018-04-13
Tsotsi,8750,"Crime, Drama","Independent Dramas,Dramas,Independent Films,International Dramas,International Movies,Dramas based on a book,African Films,Tearjerkers,Dramas based on contemporary literature,Crime Dramas,Crime Films,Films Based on Books,South African Films","Zulu, Xhosa, Afrikaans, English",Movie,3.7,R,7.2,82.0,70.0,2006-03-31
Tucker and Dale vs. Evil,8755,"Comedy, Horror","Horror Films,Spoofs & Satires,Comedies,Dark Comedies,Gory Horror Movies,Canadian Movies,Horror Comedies",English,Movie,3.8,R,7.5,85.0,65.0,2010-12-09
"Tuesday, After Christmas",8756,"Drama, Romance","Dramas,Romantic Dramas,Steamy Romantic Films,International Dramas,International Movies,Eastern European Films,Romantic Films",Romanian,Movie,6.6,Unrated,6.9,74.0,81.0,2011-05-25
Tulip Fever,8757,"Drama, History, Romance","Dramas,Romantic Dramas,Romantic Films,Period Pieces,Films Based on Books,Historical Movies,Historical Dramas",English,Movie,1.8,R,6.2,10.0,38.0,2017-09-01
Tully,8758,"Comedy, Drama, Mystery","Dramas,Comedies,Dark Comedies,US Movies",English,Movie,3.9,R,7.0,87.0,75.0,2018-05-04
Turbo,8763,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport","Family Features,Family Feature Animation,Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12,Films for ages 5 to 7,US Movies",English,Movie,3.1,PG,6.4,67.0,58.0,2013-07-17
Turistas,8766,"Horror, Mystery, Thriller","Horror Films,Slasher and Serial Killer Films","English, Portuguese",Movie,1.8,R,5.4,18.0,36.0,2006-12-01
Twice Born,8775,"Drama, Romance, War","Independent Dramas,Dramas,Military Dramas,Romantic Dramas,Independent Films,Romantic Independent Films,International Dramas,Italian Films,International Movies,Dramas based on a book,Romantic Films","English, Italian, Bosnian",Movie,2.1,R,7.4,17.0,34.0,2013-12-06
Twilight,8777,"Drama, Fantasy, Romance","Romantic Dramas,Dramas,Dramas based on a book,Romantic Films,Action & Adventure,Teen Movies,Movies Based on Books,Romantic Favorites,US Movies",English,Movie,2.6,PG-13,5.2,49.0,56.0,2008-11-21
Twin Peaks: Fire Walk With Me,8780,"Drama, Horror, Mystery, Thriller","Crime Films,Thrillers,Mysteries,Crime Thrillers,Supernatural Thrillers,Psychological Thrillers,Dramas,Crime Dramas",English,Movie,3.0,R,7.3,64.0,45.0,1992-08-28
Twisted,8783,"Crime, Drama, Mystery, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Crime Movies,US Movies","English, Italian, Spanish",Movie,1.3,R,5.3,1.0,26.0,2004-02-27
Twister,8784,"Action, Adventure, Thriller","Action Thrillers,Action & Adventure,Blockbuster Action & Adventure,US Movies",English,Movie,3.2,PG-13,6.4,59.0,68.0,1996-05-10
Two Brothers,8786,"Adventure, Drama, Family","Family Adventures,Children & Family Films,Films for ages 8 to 10,Animal Tales,Tearjerkers","English, Thai, French",Movie,3.5,PG,7.1,78.0,63.0,2004-06-25
Two Night Stand,8790,"Comedy, Romance","Comedies,Romantic Films,Quirky Romance,Romantic Comedies",English,Movie,2.5,R,6.4,38.0,45.0,2014-09-26
Two Weeks Notice,8791,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites,US Movies",English,Movie,2.4,PG-13,6.1,42.0,42.0,2002-12-20
U.S. Marshals,8795,"Action, Crime, Thriller","Crime Films,Action Thrillers,Action & Adventure,Crime Action & Adventure,Action & Adventure,Crime Action & Adventure,Crime Films,Action Thrillers",English,Movie,2.3,PG-13,6.6,25.0,47.0,1998-03-06
U-571,8796,"Action, War","Action Thrillers,Military Action & Adventure,Spy Action & Adventure,Action & Adventure","English, German",Movie,3.2,PG-13,6.6,67.0,62.0,2000-04-21
Ultraviolet,8823,"Action, Sci-Fi","Sci-Fi & Fantasy,Action Thrillers,Action & Adventure,Action Sci-Fi & Fantasy,Sci-Fi Thrillers,Action,US Movies,Futuristic Sci-Fi","English, Vietnamese",Movie,1.2,PG-13,4.5,8.0,18.0,2006-03-03
Una,8827,"Drama, Romance","International Films,Steamy Dramas,International Dramas,British Films,Dramas",English,Movie,3.5,R,6.2,76.0,62.0,2017-09-01
Unaccompanied Minors,8829,"Adventure, Comedy, Family, Romance","Family Comedies,Family Adventures,Children & Family Films","English, Spanish",Movie,2.1,PG,5.3,29.0,43.0,2006-12-08
Unbroken,8836,"Action, Biography, Drama, Sport, War","Action & Adventure,Dramas,Dramas based on a book,Dramas based on real life,Military & War Movies,Military Dramas,Military Action & Adventure,Films Based on Real Life,Films Based on Books,US Movies","English, Japanese, Italian",Movie,3.0,PG-13,7.2,51.0,59.0,2014-12-25
Uncle Buck,8839,Comedy,"Slapstick Comedies,Comedies",English,Movie,3.0,PG,7.0,61.0,51.0,1989-08-16
Uncut Gems,8842,"Crime, Drama, Thriller","Thriller Movies,Dramas,Crime Movies,Crime Thrillers,Crime Dramas","English, Hebrew",Movie,4.3,R,7.4,92.0,91.0,2019-12-25
Undefeated,8843,"Documentary, Sport","Sports Documentaries,Football Films,Sports & Fitness,Biographical Documentaries,Sports Films,Documentaries,Documentary Films",English,Movie,5.7,PG-13,7.7,96.0,71.0,2012-08-03
Under Suspicion,8845,"Crime, Drama, Thriller","Crime Films,Thrillers,Crime Thrillers,Mysteries","English, Spanish, Italian",Movie,2.6,R,6.5,49.0,43.0,2000-11-15
Under the Shadow,8847,"Drama, Fantasy, Horror, Thriller, War","Supernatural Thrillers,Horror Films,Supernatural Horror Films,Thrillers,British Films",Persian,Movie,4.2,PG-13,6.9,99.0,83.0,2016-10-07
Under the Silver Lake,8848,"Crime, Drama, Mystery, Thriller","Dramas,Crime Movies,Crime Dramas,Mysteries",English,Movie,3.1,R,6.5,59.0,60.0,2019-04-19
Undercover Kitty,8852,"Comedy, Family, Fantasy","Family Adventures,Comedies,Children & Family Movies,Family Comedies,Dutch Children & Family Movies,Movies based on childrens books,Movies for ages 11 to 12,Movies for ages 8 to 10,Dutch Comedies,Dutch Movies,Movies for ages 5 to 7,Movies Based on Books",Dutch,Movie,5.6,PG,6.8,64.0,50.0,2001-12-06
Underworld,8855,"Action, Fantasy, Thriller","Sci-Fi & Fantasy,Fantasy,Action Thrillers,Action & Adventure,Action Sci-Fi & Fantasy,Crime Action & Adventure",English,Movie,2.4,R,7.0,31.0,42.0,2003-09-19
Underworld: Awakening,8856,"Action, Fantasy, Horror","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy,Action Thrillers,Action & Adventure,Action","English, Russian",Movie,2.1,R,6.4,26.0,39.0,2012-01-20
Underworld: Blood Wars,8857,"Action, Adventure, Fantasy, Horror, Sci-Fi","Sci-Fi & Fantasy,Action Thrillers,Action & Adventure,Action Sci-Fi & Fantasy,Fantasy Movies,Action Movies,US Movies","English, Saami",Movie,1.7,R,5.8,21.0,23.0,2017-01-06
Underworld: Evolution,8858,"Action, Fantasy, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Vampire Films,Action & Adventure","English, French, Hungarian",Movie,2.0,R,6.7,17.0,36.0,2006-01-20
Underworld: Rise of the Lycans,8859,"Action, Fantasy, Sci-Fi, Thriller","Action Thrillers,Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Thrillers,Horror Films,Fantasy,Supernatural Horror Films,Vampire Horror Films,Werewolf Horror Films",English,Movie,2.3,R,6.6,29.0,44.0,2009-01-23
Undisputed,8860,"Action, Crime, Drama, Sport","Dramas,Action Thrillers,Sports Dramas,Police Action & Adventure,Action & Adventure,Police Dramas,Police Movies,Crime Action & Adventure,Sports Films,Crime Dramas,Crime Movies","English, German",Movie,2.8,R,6.2,48.0,58.0,2002-08-23
Unfinished Business,8866,"Comedy, Drama","Late Night Comedies,Comedies,US Movies",English,Movie,1.6,R,5.4,10.0,32.0,2015-03-06
Unfinished Song,8867,"Comedy, Drama, Music, Romance","Dramas,Tearjerkers,Comedies,Independent Movies,British Movies",English,Movie,4.6,PG-13,7.0,65.0,57.0,2013-02-22
Unforgettable,8868,"Drama, Thriller","Thrillers,Psychological Thrillers","English, French",Movie,2.1,R,5.1,28.0,45.0,2017-04-21
Unforgiven,8869,"Drama, Western","International Action & Adventure,Award-winning Movies,Academy Award-Winning Films,International Movies,Action & Adventure,Crime Action & Adventure,Dramas,Crime Films,Crime Dramas,Westerns,Classic Dramas,Classic Films,Classic Action & Adventure,Blockbuster Action & Adventure,US Movies",English,Movie,4.4,R,8.2,96.0,85.0,1992-08-07
Unfriended: Dark Web,8871,"Horror, Mystery, Thriller","Thrillers,Slasher & Serial Killer Movies,Horror Movies,US Movies,Psychological Thrillers,Psychological Horror Movies","English, American Sign Language, Indonesian",Movie,2.9,R,5.9,60.0,53.0,2018-07-20
