Key,Hidden Gem Score,IMDb Score,Rotten Tomatoes Score,Metacritic Score
1230,3.6,6.5,79.0,71.0
1232,1.4,4.6,10.0,29.0
1233,1.9,6.6,13.0,34.0
1242,1.0,3.1,10.0,21.0
1247,3.8,8.3,78.0,68.0
1248,3.3,5.9,77.0,61.0
1249,4.0,7.1,90.0,79.0
1252,4.0,7.6,89.0,76.0
1255,2.1,5.5,27.0,42.0
1256,5.9,6.7,79.0,63.0
1259,3.2,7.2,68.0,51.0
1260,3.0,6.4,56.0,60.0
1263,2.0,5.7,26.0,40.0
1265,3.9,6.8,90.0,75.0
1266,4.1,7.6,90.0,81.0
1267,3.8,7.1,85.0,74.0
1269,2.2,6.0,27.0,44.0
1270,3.4,6.5,78.0,59.0
1271,3.5,6.7,80.0,66.0
1272,2.0,6.3,27.0,29.0
1273,2.7,6.1,58.0,44.0
1274,2.6,7.1,43.0,45.0
1275,2.9,6.0,63.0,52.0
1280,4.2,7.7,87.0,87.0
1281,2.9,6.1,52.0,61.0
1282,2.3,6.2,28.0,49.0
1283,3.8,7.2,82.0,76.0
1285,4.3,7.5,97.0,88.0
1292,2.7,7.1,47.0,47.0
1301,8.2,6.9,70.0,67.0
1302,7.6,5.8,79.0,48.0
1303,6.4,6.2,79.0,61.0
1304,3.9,6.8,85.0,80.0
1307,3.4,5.4,61.0,51.0
1308,2.5,5.7,45.0,48.0
1309,4.2,7.4,97.0,81.0
1311,3.8,6.8,91.0,66.0
1315,7.8,6.6,97.0,57.0
1318,2.4,6.4,36.0,47.0
1319,3.5,7.0,78.0,63.0
1321,8.4,5.5,91.0,74.0
1323,7.2,6.1,88.0,63.0
1324,2.3,6.6,28.0,42.0
1325,2.4,5.2,48.0,44.0
1326,3.9,6.1,70.0,63.0
1328,4.9,7.6,96.0,69.0
1330,7.7,5.8,83.0,68.0
1333,2.2,5.3,34.0,44.0
1335,3.3,6.5,65.0,66.0
1340,3.3,6.6,71.0,64.0
1345,4.0,6.8,95.0,76.0
1348,4.4,7.9,94.0,93.0
1351,7.3,6.9,94.0,67.0
1354,1.9,5.3,29.0,35.0
1358,2.6,6.5,40.0,52.0
1364,4.1,7.8,90.0,75.0
1365,3.9,7.9,82.0,72.0
1366,4.2,7.8,93.0,82.0
1368,3.6,6.2,87.0,69.0
1369,2.6,6.0,44.0,54.0
1371,3.6,7.6,67.0,71.0
1376,3.2,6.3,67.0,65.0
1377,3.8,7.9,81.0,65.0
1385,4.3,7.2,94.0,94.0
1387,2.7,5.9,50.0,53.0
1388,3.6,6.7,62.0,52.0
1391,4.0,7.4,90.0,76.0
1394,2.5,5.5,42.0,52.0
1395,7.4,6.9,91.0,56.0
1397,1.8,6.2,21.0,25.0
1398,3.9,8.2,80.0,73.0
1399,4.2,8.0,94.0,80.0
1401,2.7,6.1,50.0,49.0
1402,4.0,7.8,89.0,73.0
1403,6.1,6.1,81.0,74.0
1404,4.2,8.0,96.0,78.0
