Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
2751,"Adventure, Comedy, Sci-Fi","Alien Sci-Fi,Sci-Fi & Fantasy,Sci-Fi Adventure,Comedies,Adventures,Action & Adventure,Spoofs & Satires",English,Movie,3.9,PG,7.3,90.0,70.0,1999-12-25
2752,"Horror, Mystery, Thriller","Supernatural Horror Movies,Horror Movies,Thrillers,Teen Screams,Supernatural Thrillers",English,Movie,1.4,R,4.3,14.0,30.0,2015-07-10
2754,"Action, Comedy, Crime, Thriller","Crime Comedies,Crime Movies,Hollywood Movies,Comedies,Dark Comedies,US Movies",English,Movie,3.7,R,6.9,85.0,66.0,2018-02-23
2756,"Action, Comedy","Action & Adventure,Action Comedies,Late Night Comedies,Comedies",English,Movie,1.7,TV-MA,5.4,18.0,32.0,2018-03-23
2757,"Action, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action Thrillers,Sci-Fi Thrillers,Action & Adventure",English,Movie,1.9,R,5.8,30.0,27.0,2009-09-04
2759,"Biography, Drama, History","Dramas,Award-winning Movies,Academy Award-Winning Films,BAFTA Award-Winning Films,International Movies,Historical Dramas,British Films,Golden Globe Award-winning Films,Dramas based on real life,Classic Films,Epics,Social Issue Dramas,Classic Dramas,Political Dramas,Films Based on Real Life,Period Pieces",English,Movie,4.1,PG,8.0,85.0,79.0,1983-02-25
2763,"Crime, Drama","Crime Films,Dramas,Gangster Films,Dramas based on a book,Crime Dramas,Movies Based on Books,Period Pieces,US Movies","English, Irish, Chinese, Latin",Movie,3.7,R,7.5,73.0,72.0,2002-12-20
2764,"Action, Comedy, Crime, Drama, Thriller","Action & Adventure,Crime Action & Adventure,International Dramas,Crime Dramas,Action Thrillers,International Movies,Epics,International Action & Adventure,Dramas,Bollywood Movies,Crime Movies,Hindi-Language Movies",Hindi,Movie,4.5,R,8.2,97.0,89.0,2012-06-22
2765,"Action, Comedy, Crime, Drama, Thriller","Dramas,International Action & Adventure,Epics,International Movies,Crime Dramas,Action Thrillers,International Dramas,Action & Adventure,Crime Action & Adventure,Bollywood Movies,Crime Movies,Hindi-Language Movies",Hindi,Movie,4.5,R,8.2,97.0,89.0,2012-06-22
2768,"Action, Crime, Drama, Thriller","Police Action & Adventure,Gangster Films,Police Movies,Film Noir,Action & Adventure,Action Thrillers,Crime Action & Adventure,Police Dramas,Dramas,Films Based on Books,Crime Dramas,Crime Films,US Movies,Action",English,Movie,2.3,R,6.7,31.0,40.0,2013-01-11
2769,"Action, Crime, Drama","Action & Adventure,Social Issue Dramas,Crime Dramas,Crime Movies,Gangster Movies,Action Thrillers,African Movies,Dramas,Crime Action & Adventure,International Action & Adventure,International Dramas,Action Movies,Crime Action,Gangster Action & Adventure,South African Films","English, Afrikaans",Movie,3.4,R,7.3,76.0,53.0,2008-08-29
2777,"Drama, Sci-Fi, Thriller","Thrillers,Sci-Fi & Fantasy,Sci-Fi","English, Esperanto",Movie,3.7,PG-13,7.8,82.0,64.0,1997-10-24
2783,"Crime, Drama, Mystery, Thriller","Crime Thrillers,Mysteries,Thriller Movies,Crime Films",English,Movie,6.0,R,5.4,72.0,71.0,2018-03-30
2785,"Action, Drama, Sci-Fi, Thriller","Action & Adventure,Spy Action & Adventure,Action Thrillers","English, French",Movie,2.0,PG-13,5.7,26.0,38.0,2019-10-11
2786,"Action, Drama, History, War","TV Dramas,TV Programmes,German TV Programmes",German,Series,3.4,TV-MA,8.5,63.0,57.0,2013-03-01
2787,"Biography, Drama","Dramas based on a book,Dramas,British Films,Films Based on Real Life,Films Based on Books",English,Movie,2.9,PG-13,6.6,53.0,56.0,2016-06-10
2791,"Comedy, Drama",Dramas,English,Movie,1.7,R,5.8,18.0,25.0,2007-05-11
2792,"Action, Sci-Fi, Thriller","Action Thrillers,Action & Adventure,Sci-Fi Thrillers,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Blockbuster Action & Adventure,US Movies","English, Cantonese, Russian, Hindi, Spanish",Movie,1.5,PG-13,5.3,16.0,21.0,2017-10-20
2793,"Drama, Horror, Thriller","Psychological Thrillers,Thrillers,Horror Films,Films Based on Books",English,Movie,3.9,TV-MA,6.6,91.0,77.0,2017-09-29
2795,"Comedy, Crime","Comedies,Late Night Comedies,Crime Comedies,Crime Films",English,Movie,2.0,R,6.0,28.0,34.0,2015-03-27
2796,"Adventure, Comedy, Music","Comedies,Late Night Comedies,Music & Musicals,Laugh-Out-Loud Comedies",English,Movie,3.3,R,6.4,72.0,65.0,2010-06-04
2798,"Horror, Mystery, Thriller","Horror Movies,Award-winning Movies,Thrillers,Independent Movies,Independent Thrillers,Oscar-winning Movies,Spoofs & Satires",English,Movie,4.3,R,7.7,98.0,85.0,2017-02-24
2799,"Biography, Crime, Drama, Music","Dramas,Gangster Films,Biographical Dramas,Police Dramas,Police Movies,Crime Dramas,Hip-Hop,Crime Movies,Music & Musicals","English, Spanish",Movie,1.9,R,5.4,16.0,45.0,2005-11-09
2800,"Comedy, Family","Family Features,Family Comedies,Family Sci-Fi & Fantasy,British Films,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12",English,Movie,6.5,PG,6.3,79.0,52.0,2014-12-12
2801,"Action, Adventure, Comedy","Spoofs & Satires,Action Comedies,Comedies,Action & Adventure,Laugh-Out-Loud Comedies,Blockbuster Action & Adventure,US Movies","English, Russian, Punjabi, Arabic",Movie,2.8,PG-13,6.5,51.0,54.0,2008-06-20
2807,"Drama, Fantasy, Romance, Thriller","Dramas,Romantic Dramas,Romantic Favourites,Tearjerkers,Romantic Films,Classic Films,Classic Dramas,Classic Romantic Films,US Movies,Award-winning Dramas",English,Movie,3.3,PG-13,7.1,74.0,52.0,1990-07-13
2808,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller","Anime,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action & Adventure,Cult Sci-Fi & Fantasy,Anime Feature Films,Seinen Anime,Sci-Fi & Fantasy Anime,Anime Action,Spy Action & Adventure,Police Action & Adventure,Police Movies,Crime Action & Adventure,Japanese Films,Cyberpunk,Sci-Fi Anime,Crime Movies,Mecha & Cyborg Anime,Futuristic Sci-Fi",Japanese,Movie,4.2,TV-MA,8.0,96.0,76.0,1996-03-29
2809,"Animation, Action, Drama, Sci-Fi, Thriller","Anime,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Anime Sci-Fi Films,Japanese Action & Adventure,Action & Adventure,Japanese Sci-Fi & Fantasy,Crime Action & Adventure,Anime Action Films,Anime Features,Crime Movies,Japanese Movies,Crime Action,Sci-Fi & Fantasy Anime,Cyberpunk","Japanese, Cantonese, English",Movie,3.4,PG-13,7.5,64.0,66.0,2004-09-24
2816,"Action, Fantasy, Thriller","Crime Films,Sci-Fi & Fantasy,Fantasy,Action Thrillers,Action & Adventure,Crime Action & Adventure,Action Sci-Fi & Fantasy,Adventures,Blockbuster Action & Adventure,Action",English,Movie,1.9,PG-13,5.2,26.0,35.0,2007-02-16
2817,"Action, Fantasy, Thriller","Action,Action Thrillers,Blockbuster Movies,Action & Adventure,Comic Book and Superhero Films","English, Romanian",Movie,1.6,PG-13,4.3,18.0,34.0,2012-02-17
2818,Horror,"Supernatural Horror Films,Horror Films,US Movies,Gory Horror Films,Chilling Horror Films","English, Italian, Spanish",Movie,1.7,R,5.5,16.0,28.0,2002-10-25
2819,"Drama, Horror","Supernatural Thrillers,Supernatural Horror Movies,Thrillers,Indian Movies,Horror Movies,Bollywood Movies,Hindi-Language Movies,International Thrillers,Creature Features",English,Movie,3.6,Not Rated,6.4,85.0,68.0,2018-04-20
2820,"Comedy, Drama, Fantasy, Romance","Romantic Comedies,Comedies,Wacky Comedies,Romantic Films,Romantic Favourites,Sci-Fi & Fantasy,Fantasy,US Movies",English,Movie,3.7,PG-13,6.7,85.0,72.0,2008-09-19
2822,"Action, Comedy, Fantasy, Sci-Fi","Blockbuster Comedies,Adventures,Comedies,Blockbuster Action & Adventure,Action & Adventure,Action Comedies,US Movies,Comedy Blockbusters,Laugh-Out-Loud Comedies",English,Movie,3.3,PG-13,6.4,74.0,60.0,2016-07-15
2823,"Action, Comedy, Fantasy, Sci-Fi","Award-winning Movies,Action Comedies,Sci-Fi & Fantasy,Comedies,BAFTA Award-Winning Films,Action & Adventure,Sci-Fi,Classic Films,Children & Family Films,Classic Comedies,Family Comedies,Action Sci-Fi & Fantasy,Classic Action & Adventure,Classic Sci-Fi & Fantasy,Family Sci-Fi & Fantasy,US Movies",English,Movie,4.1,PG,7.8,97.0,71.0,1984-06-08
2824,"Action, Comedy, Fantasy, Sci-Fi","Action Comedies,Sci-Fi & Fantasy,Children & Family Films,Films for ages 8 to 10,Comedies,Action & Adventure,Family Comedies,Family Sci-Fi & Fantasy,Sci-Fi,Action Sci-Fi & Fantasy,US Movies",English,Movie,2.9,PG,6.6,53.0,56.0,1989-06-16
2826,"Comedy, Fantasy, Romance","Romantic Comedies,Comedies,Romantic Films,Sci-Fi & Fantasy,Fantasy Movies,Romantic Favorites,US Movies","English, Japanese, Chinese, Spanish",Movie,2.0,PG-13,5.8,28.0,34.0,2009-05-01
2830,Drama,"Children & Family Movies,Dramas",English,Movie,3.5,PG-13,7.6,73.0,60.0,2017-04-12
2832,"Documentary, Biography, Comedy","Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,Norwegian Movies",English,Movie,8.7,TV-MA,7.5,95.0,73.0,2017-04-01
2846,"Drama, Horror, Mystery","Supernatural Horror Movies,Horror Movies",English,Movie,4.4,TV-MA,4.6,84.0,65.0,2019-10-25
2848,"Biography, Drama, Romance","Dramas,Romantic Dramas,Period Pieces,Dramas based on a book,Romantic Films,Dramas based on contemporary literature",English,Movie,3.5,PG-13,6.9,72.0,72.0,2004-01-30
2849,"Biography, Drama","Dramas,20th Century Period Pieces,Dramas based on a book,Dramas based on real life,Dramas based on contemporary literature,Films Based on Real Life,Films Based on Books,Historical Dramas",English,Movie,2.9,R,7.3,53.0,51.0,2000-01-14
2853,Drama,"Dramas,International Dramas,International Movies,French Films,French Dramas",French,Movie,5.0,Unrated,6.9,96.0,85.0,2014-10-22
2859,"Drama, Mystery, Thriller","Teen Movies,Chinese Movies,Dramas,Taiwanese Movies",English,Movie,4.1,R,8.1,87.0,79.0,2014-10-03
2867,"Action, Adventure, Drama","Period Pieces,Epics,Action & Adventure,Adventures,Dramas,Historical Dramas,Blockbuster Action & Adventure,US Movies,Historical Movies,Critically-acclaimed Action & Adventure,Critically Acclaimed Films,Critically Acclaimed Dramas,Oscar-Winning Films,Modern Classics,Golden Globe Award-Winning Films",English,Movie,3.8,R,8.5,77.0,67.0,2000-05-05
2875,"Biography, Drama, History, War","Award-winning Movies,Academy Award-Winning Films,Golden Globe Award-winning Films,Military Dramas,Movies Based on Real Life,Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Dramas,Classic Movies,Tearjerkers,Classic War Films,Award-winning Dramas,Historical Movies,Historical Dramas",English,Movie,4.2,R,7.8,93.0,78.0,1990-02-16
2899,"Crime, Drama","Polish Comedies,Polish Movies,Political Comedies,Comedies",Portuguese,Movie,4.3,R,8.6,91.0,79.0,2004-02-13
2900,Drama,"Dramas,Faith & Spirituality,Faith & Spirituality Films",English,Movie,1.2,PG,4.7,12.0,16.0,2014-03-21
2901,Drama,"Faith & Spirituality,Dramas,Faith & Spirituality Films,Courtroom Dramas,Social Issue Dramas",English,Movie,1.3,PG,4.4,10.0,22.0,2016-04-01
2902,"Action, Adventure, Fantasy","Action Sci-Fi & Fantasy,Fantasy,Sci-Fi & Fantasy,Action & Adventure,Adventures,US Movies,Epics",English,Movie,1.6,PG-13,5.4,15.0,25.0,2016-02-26
2903,"Drama, Romance","British Films,British Dramas,Romantic Independent Films,LGBTQ Films,Romantic Favourites,Romantic Dramas,Independent Dramas,LGBTQ Dramas,Independent Films,Dramas,Romantic LGBTQ Films,Romantic Films,Steamy Romantic Films,Romantic British Films,Award-winning Dramas","English, Romanian, Bulgarian",Movie,4.3,Not Rated,7.7,98.0,85.0,2017-08-24
2904,"Action, Adventure, Sci-Fi, Thriller","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Japanese Movies,Classic Movies,Classic Japanese Movies","English, Japanese",Movie,3.4,PG-13,6.4,76.0,62.0,2014-05-16
2907,"Action, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action & Adventure,Monster Films","English, French, Japanese, Russian, Spanish",Movie,1.7,PG-13,5.4,15.0,32.0,1998-05-20
2908,"Action, Adventure, Sci-Fi, Thriller","Sci-Fi & Fantasy,Japanese Movies","English, Japanese",Movie,3.4,PG-13,6.4,76.0,62.0,2014-05-16
2921,"Action, Adventure, Fantasy, Sci-Fi","Sci-Fi Adventure,Action Sci-Fi & Fantasy,Action & Adventure,Sci-Fi & Fantasy,Monster Movies,Adventures","English, Japanese, Chinese, Spanish",Movie,2.5,PG-13,6.0,42.0,48.0,2019-05-31
2922,"Action, Adventure, Drama, Horror, Sci-Fi","Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Action & Adventure,Award-winning Movies,International Movies,Japanese Movies","Japanese, Japanese Sign Language, English, German",Movie,3.7,Not Rated,6.8,86.0,67.0,2016-07-29
2926,Documentary,"Documentaries,Movies Based on Books,Documentary Films",English,Movie,4.2,Not Rated,8.0,95.0,80.0,2015-06-25
2928,"Comedy, Crime","Crime Comedies,Comedies,Crime Films,Heist Films,US Movies",English,Movie,3.3,PG-13,6.6,82.0,50.0,2017-04-07
2929,"Crime, Drama","Adventures,Action & Adventure,Dramas","English, Indonesian",Movie,2.6,R,6.7,42.0,49.0,2017-01-27
2932,Drama,"Dramas,US Movies,Independent Movies",English,Movie,7.3,R,5.8,67.0,71.0,2018-02-09
2936,"Crime, Thriller","Australian Movies,Crime Thrillers,Thrillers","English, Mandarin",Movie,6.3,R,6.5,76.0,78.0,2016-07-07
